,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_e,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
56,0,B2,5,1.819895927,9.10E-07,59.02336812,1.658707552,0.152804641,0.824451599,2.215446448,8.525145712,0,0,0,0,0,1.10E-05,0,1.52E-05,0,0,2.04E-05,0.000137628,4.88E-05,0.000197727,0.000388083,5.90E-05,0.000138146,0.005045481,0.001070104,1.20E-05,0.00228803,0.010191935,0.000167233,0.002114611,0,0.000125453,3.58E-05,1.55E-05,6.14E-05,9.04E-07,0.000190296,3.53E-05,3.59E-05,0,0,0,2.14E-05,0.002188197,0.000722132,0.005025744,0.001329977,0.000610961,0.000806472,0,0.001244983,0.000680986,0.004057168,0.00020759,0.00030638,0.000233039,0.004736263,0.00020865,8.26E-05,0.001776906,0.002067563,0.000834028,0.000215007,0,0,0,0.001913036,8.85E-05,0,0,0,0,0,0.001974701,0,0.000146769,0,0,0.001882677,0.000320588,0,0,0,0,0,0,5
57,2,B2,14,0,0,49.77886323,0.573403532,1.970361589,1.265397425,3.399500326,19.52939217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
58,4,B2,23,2.578,6.45E-07,44.82004885,2.909845151,1.959141333,1.51089032,3.546773843,21.8203164,0,0.075970086,0,0,3.47E-05,0.000782197,0.001345414,0.003516954,0.000335021,6.09E-05,0.000287688,0.0002227,0.000101419,0.000212241,0.001803443,0.000197935,0.000226722,0.002073147,0.001368864,3.49E-05,0.00079802,0.050005796,0.00018775,0.005021189,0,0.000169726,1.49E-05,5.53E-05,0.000137116,2.28E-06,0.000229668,6.41E-05,0,0,0,3.95E-05,0,0.001576125,0.000986637,0,0.002275778,0.000374283,5.74E-05,0,0.000909928,0.000176614,0,0,5.09E-05,0.000123576,0,2.37E-06,5.26E-05,0.001683816,0.002914957,0.000345774,0.000166791,0,0.003212723,0.004772308,0,0.044026022,0,0.001103116,0.003866044,0,0.000318825,0.001828461,0,0,0,0,0.001747198,0.001771472,0,0,0.008826426,0,0,0,5
59,6,B2,32,0,0,41.67906306,2.492018669,2.024836989,2.191063499,4.21707582,22.55237302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003626647,0.005034987,0,0.056690901,0,0.001194831,0.003790579,0,0.00029984,0.002323332,0.000506153,0,0,0,0,0,0,0,0,0,0,0,5
60,8,B2,41,3.283,8.21E-07,37.65730462,3.059749012,1.924371242,2.475521758,9.22867695,23.8304746,0,0.158365657,0,0,0,0.001453928,0.001092433,0.00489378,0.000395429,8.66E-05,0.000310263,0,0,0,0,0,0,0.001066617,0.001018017,2.76E-05,0.002241099,0.074674842,0.000245879,0.005598241,0,0.000232661,1.50E-05,7.66E-05,0.000137637,3.32E-06,0.000176435,6.67E-05,0,0,0,2.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004472215,0.007697515,0,0.078784783,0,0.001422415,0.004994413,0,0.000306997,0.00209703,0.000362654,0,0,0,0,0,0,0,0,0,0,0,5
61,10,B2,50,0,0,34.37777531,2.68801315,2.128012533,2.738254885,4.690527917,23.95437136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004731057,0.009743331,0,0.099859527,0,0.001503802,0.003185701,0,0.000403156,0.001294562,0.000275361,0,0,0,0,0,0,0,0,0,0,0,5
62,12,B2,59,3.403,8.51E-07,31.63599023,2.286656802,2.048234397,2.367095915,4.718248968,23.89891757,0,0.257068148,0,0,5.31E-05,0.002045994,0.000560977,0.002680129,0.000373613,6.22E-05,0.0002869,0.000230615,0.000104764,0.000168219,0.002165062,0.000271737,0.000290716,0.000866071,0.000691715,1.38E-05,0.003846134,0.060385586,0.000269129,0.003955943,0,0.000265134,7.60E-06,9.08E-05,0.000132779,3.84E-06,0.000151423,6.24E-05,0,0,0,1.45E-05,0,0.000388432,0.000796747,0,0.000158216,0.000397303,5.23E-05,0,0.000840954,1.67E-05,0,0,0,0.000159521,0,0,0.00012435,0.002284317,0.004197772,0.000108924,0.000150277,0,0.000407517,0.005921974,0,0.236249228,0,0.000174068,0,0,0.000239287,0.001568993,0.000346776,0,0,0,0.001712958,0.000894127,0,0,0,0,0,0,5
63,16,B2,68,0,0,28.09852353,1.480598592,2.000287916,1.551221137,4.745383446,24.31706911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003592751,0.011938,0,0.134153337,0,0.001898427,0.004401624,0,0.000286815,0.001812341,0.000323478,0,0,0,0,0,0,0,0,0,0,0,5
64,18,B2,77,3.273,8.18E-07,26.89165187,1.1406964,1.99698535,1.24741341,4.908168586,25.50724396,0,0.504053384,0,0,7.87E-05,0.002069161,0.000215714,0.001034977,0.000361354,3.91E-05,0.000299371,0.000175457,8.41E-05,0.000127207,0.001717039,0.000200764,0.000192486,0.000487632,0,9.89E-06,0.002770995,0.034053668,0.000175986,0.002195214,0,0.000183052,6.94E-06,5.03E-05,7.07E-05,1.79E-06,9.44E-05,7.28E-05,0,0,0,1.96E-05,0,0.00010819,0.0006467,0,4.77E-05,0.000283519,0,0,0.000701597,3.94E-06,0,0,0,0.000154228,0,0,0.000132868,0.001702854,0.003456541,0.000125685,6.60E-05,0,0.002627108,0.010152482,0,0.144871327,0,0.001919122,0.004386055,0,0.00022915,0.001795989,0.000315113,0,0.000761712,0,0.001657245,0.00195552,0,0,0.007509679,0,0,0,5
65,20,B2,86,0,0,24.39431616,0.879876527,1.864620205,0.853823268,4.513686726,25.5498751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002655847,0.012220889,0,0.151854942,0,0.002040224,0.003826419,0,0.000193627,0.004005399,0.000248836,0,0,0,0,0,0,0,0,0,0,0,5
