,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_e,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
112,0,DH1,9,2.34194489,1.17E-06,59.65852575,1.467113684,0.088060801,0.691297735,2.5712796,9.32011657,0,0,0,0,0,3.14E-05,0,1.16E-05,0,8.90E-06,8.90E-06,0.000183305,0.000114587,0.000352449,0.000721618,5.38E-05,0.000242636,0.005090273,0.001309536,1.40E-05,0.001425086,0.010923941,0.000134779,0.002300214,0,0.000124067,4.94E-05,1.68E-05,8.78E-05,4.50E-07,0.000174294,0.000170819,5.76E-05,0,0,4.62E-05,3.50E-05,0.002196889,0.000665692,0.000194337,0.000964627,0.00050097,0.000808888,0,0.001069168,0.000467479,0.004161784,0.000315285,0.000163204,0.000413147,0.004661602,0.000179723,9.35E-05,0.000969034,0.00178124,0.00035609,3.78E-05,0,0,0,0,0,0.000472732,0,0,0,0,0,0.008333648,0.00049194,0.000250731,0,0.001691103,0,0,0,0,0,0,0,0
113,2,DH1,18,0,0,50.50205373,2.875746843,2.057202134,1.326654085,3.349641538,20.21948376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,4,DH1,27,3.473,8.68E-07,43.90386323,5.020362968,2.128308917,1.807193606,2.289810993,25.35270608,0,0,0,0,0,2.48E-05,0,0,0,0,0,0.000504578,0.000224527,0.000709624,0.002878986,0.000181344,0.000686667,0.00256803,0.00160498,4.92E-05,0.0005055,0.114231412,0.00026379,0.008846784,0,0.000223634,3.14E-05,0.000148398,0.000134913,1.21E-05,0.000243155,0.000224427,4.50E-05,0,0,6.48E-05,1.44E-05,0.000469561,0.000931807,0,7.24E-05,0.00022521,0.00010896,0,0.000751283,2.00E-05,0,0,0,0.000761584,0.00163367,0,5.45E-05,0.000903764,0.002592949,3.30E-05,2.39E-05,0,0,0,0,0,0.000440385,0,0,0,0,0,0.008016992,0.000816908,0.000483846,0,0.001598196,0,0,0,0,0,0,0,0
115,6,DH1,36,0,0,41.3732238,3.676297842,2.360377678,3.17571048,3.026135129,29.0621149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000512248,0,0,0,0,0,0.005596387,0.001092396,0,0,0,0,0,0,0,0,0,0,0
116,8,DH1,45,3.304,8.26E-07,38.20576155,1.485282285,2.263375392,2.215952487,2.816228547,33.51007494,0,0,0,0,0,4.05E-05,0,0,0,0,0,0,0,0,0,0,0,0.001414357,0.001249306,3.78E-05,0.000439118,0.073290376,0.000408767,0.006324808,0,0.000257901,3.73E-05,0.000283552,0.000186193,1.77E-05,0.000196522,0.000263043,2.32E-05,0,0,8.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000592647,0,0,0,0,0,0.007103892,0.001609798,0,0,0,0,0,0,0,0,0,0,0
117,10,DH1,54,0,0,36.11867229,0.301839484,2.21700398,1.610401865,2.664501412,37.76003331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000594764,0,0,0,0,0,0.005874914,0.001746607,0,0,0,0,0,0,0,0,0,0,0
118,12,DH1,63,3.22,8.05E-07,35.23967584,0.056854099,2.14322974,0.750750444,2.532370193,40.84129892,0,0,0,0,0,1.91E-05,0,0,0,7.32E-06,7.32E-06,0.000280707,0.000110557,0.000155012,0.001325015,0.000129396,0.00016409,0,0.000739381,2.51E-05,0.000282764,0.022985125,0.000302034,0.002657316,0,0.000209099,4.01E-05,0.000304276,0.000175174,8.90E-06,0.000162769,0.000479235,0,0,0,8.20E-05,0,0.000131701,0.000639109,0,3.59E-05,0.000141353,0.00064203,0,0.000496229,3.62E-06,0,0,0,0.000283233,9.06E-05,0,3.94E-05,0.000680052,0.001853734,3.93E-05,1.42E-05,0,0,0,0,0,0.000631823,0,0,0,0,0,0.004599737,0.002128019,0.001270551,0,0.001299535,0.000329061,0,0,0,0,0,0,0
119,16,DH1,72,0,0,33.75943606,0.022812412,2.001862986,0.082251776,2.470301977,45.38834305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000647126,0,0,0,0,0,0.004670813,0.002050333,0,0,0,0,0,0,0,0,0,0,0
120,18,DH1,81,3.027,7.57E-07,31.33342584,0.010176732,1.858777204,0.028079152,2.39728438,46.21981682,0,0,0,0,0,7.16E-05,0,0,0,3.88E-06,3.88E-06,0.000345652,0.000132121,0.000210331,0.00151214,0.000125606,0.000170303,0,0.000853687,3.37E-05,6.61E-05,0.015163908,0.000309912,0.000771806,0,0.000255514,0,0.000448555,0.00023833,1.51E-05,0.000118456,0.000637686,0,0,0,0.000112165,0,0.000163462,0.00079637,0,5.63E-05,0.000166103,0.000710501,0,0.000609034,7.22E-06,0,0,0,0.000206515,0,0,5.48E-05,0.000840242,0.00182262,8.09E-05,1.80E-05,0,0,0,0,0,0.000665652,0,0,0,0,0,0.002881855,0.001846945,0.001608011,0,0.001342431,0.000509578,0,0,0,0,0,0,0
121,20,DH1,90,0,0,30.63193828,0.000719281,1.883817427,0,2.015811427,49.89858451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000647701,0,0,0,0,0,0.002576008,0.002178932,0,0,0,0,0,0,0,0,0,0,0
