,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_e,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
0,0,I1,1,1.659609467,8.30E-07,58.76443162,0.559661276,0.09653654,0.581705151,1.40560504,7.696919234,0,0,0,0,0,3.48E-06,1.65E-05,0.002641201,0,0,0,0.000171379,7.17E-05,0.000221378,0.000479329,6.08E-05,0.000196876,0.004754964,0.001310193,2.38E-05,0.002563855,0.013658154,0.000448115,0.002844214,0,0.000337391,3.90E-05,1.71E-05,5.15E-05,1.10E-06,0.000270254,3.69E-05,5.71E-05,0,0,0.000392489,2.93E-05,0.002905935,0.001211221,0.013648219,0.00199055,0.000909669,0.000998875,0,0.001498461,0.001100519,0.005062852,0,0.000775507,0.000691713,0.011741467,0.000288174,0.000644248,0.003269254,0.003423122,0.001516811,0.000373428,0,9.64E-05,0.000926325,0,0,0,0,0.033565916,0,0,0,0,0.000208524,0,0,0,0,0,0,0,0,0,0,1
1,2,I1,10,0,0,52.73717806,0.058094504,1.987475654,4.418072824,5.487203997,15.66064946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,4,I1,19,2.24,5.60E-07,48.1393206,0.044635328,1.905673639,6.748967584,2.059945688,18.43014155,0.691866167,0,0,0,6.89E-05,0.000275343,0.000938668,0.018247797,0.003969097,0,0,0.000315314,0.000189089,0.000379067,0.001829253,0.000221246,0.000492313,0.005343039,0.002266683,5.04E-05,0.000167115,0.124055021,0.00056492,0.005858814,0,0.000457898,2.81E-05,6.22E-05,7.63E-05,4.67E-06,0.000423229,0.00010114,0.000159,0,0,0.000914615,1.90E-05,0.003543599,0.001732831,0.000195788,0.007942271,0.000831373,8.19E-05,0,0.001718563,0.000648769,0.000495536,0,0.000390184,0.000871567,0.009917212,0.000121075,0.000941739,0.003652873,0.005621907,0.001425722,0.000371098,0,0.004778799,0.033905435,0.000239808,0.007932096,0,0,0,0,0,0.001250338,0.000936127,0,0.000213579,0,0.001687138,0,0,0,0,0,0,0,1
3,6,I1,28,0,0,44.76099023,0.110824642,1.935676179,9.657349023,2.774603519,20.05595337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004649762,0.048589963,0.000609892,0.011936629,0,0,0,0.000915069,0,0.010081219,0.001396057,0,0,0,0,0,0,0,0,0,0,0,1
4,8,I1,37,2.69,6.73E-07,40.2536079,0.719344277,1.994343297,13.32804174,2.924549207,21.69741882,1.275404609,0,0,0,0,0.000595143,0.001215891,0.017163908,0.003297913,0,0,0,0,0,0,0,0,0.003918496,0.001784573,4.38E-05,0.001945673,0.212572244,0.000523349,0.005969067,0,0.000422727,1.52E-05,8.63E-05,7.52E-05,3.52E-06,0.000331248,9.50E-05,0.000141109,0,0,0.000788924,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004413292,0.026821128,0,0.021641651,0,0.000395195,0,0.002254891,0,0.004893479,0.002627109,0,0,0,0,0,0,0,0,0,0,0,1
5,10,I1,46,0,0,37.70331927,0.873648762,1.987213143,14.22635435,3.533890941,23.41398834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008865881,0.031827241,0.003892942,0.027004182,0,0.000772059,0,0.003241291,0,0.007018602,0.001925626,0,0,0,0,0,0,0,0,0,0,0,1
6,12,I1,55,2.816,7.04E-07,37.54679174,0.870637815,1.932678466,14.14165187,3.3000869,25.54887594,1.333187136,0,0,0,5.35E-05,0.000523027,0.002646922,0.032728757,0.004269098,4.49E-06,0,0.00023025,8.62E-05,0.000157174,0.001931034,0.000264772,0.000449105,0.001501135,0,2.49E-05,0.000341092,0.149436308,0.000516776,0.00201907,0,0.000470553,0,5.90E-05,4.73E-05,3.36E-06,0.000289003,0.000134012,2.35E-05,0,0,0.000268597,1.62E-05,0.001471626,0.001696281,6.68E-05,0.001690497,0.000491009,9.56E-05,0,0.001017663,0.000265129,0.000204395,0,0,0.001072066,0,0,0.000355889,0.002654932,0.003800722,0.000828948,0.000291652,0,0.018318763,0.07934231,0.0023356,0.031462418,0,0.000842228,0,0.003417693,0,0.011755011,0.002821172,0,0.000259026,0,0.001654095,0,0,0,0,0,0,0,1
7,16,I1,64,0,0,34.69771314,0.834635158,1.845948006,13.61445382,3.4428199,26.76486261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020615454,0.071709515,0.001063507,0.034659123,0,0.00089302,0,0.003665969,0,0.002859607,0.003105646,0,0,0,0,0,0,0,0,0,0,0,1
8,18,I1,73,2.865,7.16E-07,34.52359014,0.772743516,1.915496655,13.78241563,3.166109059,29.09325562,1.433959608,0,0,0,9.14E-05,0.00067332,0.001759246,0.024578098,0.002492889,4.08E-06,0,0.000150102,6.68E-05,9.69E-05,0.001697476,0.000182356,0.000343374,0,0,2.39E-05,0.000501644,0.160602967,0.000624613,0.000908418,0,0.000638561,0,6.89E-05,5.08E-05,2.84E-06,0.000307128,0.000127736,1.27E-05,0,0,0.000274435,0,0.001508037,0.001774343,0,0.001200217,0.000496809,0.000100491,0,0.001108589,0.000283821,0,0,0,0.001000255,0,0,0.000221717,0.002701505,0.004251645,0.000664302,0.000304734,0,0.016167842,0.069510199,0.000967096,0.033794735,0,0.001317083,0,0.002961586,0,0.003625187,0.003080512,0,0.00033536,0,0.001161652,0,0,0,0,0,0,0,1
9,20,I1,82,0,0,33.21791741,0.642681002,1.881361673,13.33847691,3.121485987,30.25878435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013195183,0.101159106,0.005215456,0.035217347,0,0.001732495,0,0.004876511,0,0.004183834,0.002308077,0,0,0,0,0,0,0,0,0,0,0,1
