,Hour,Strain,Sample,OD600,Intracellular volume / sample,glc__D_e,pyr_e,succ_e,lac__D_e,for_e,ac_e,ipoh_e,bis_e,lim_e,aacoa_c,hmgcoa_c,mev_R_c,5pmev_c,ipdp_c,ip_c,grdp_c,frdp_c,amp_c,adp_c,atp_c,nad_c,nadp_c,accoa_c,fdp_c,3pg_c,pep_c,pyr_c,lac__D_c,fum_c,succ_c,oxalcoa_c,mal__L_c,akg_c,acon__C_c,cit_c,icit_c,glx_c,glyclt_c,dxyl5p_c,2me4p,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,ser__L_c,pro__L_c,val__L_c,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_c,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c,Cystine,ex_con.id,ip_e,2mecdp_e,mev_R_e,dxyl5p_e,5pmev_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,fold_production
98,0,L3,8,1.377973571,6.89E-07,57.95920293,1.357947638,0.251733424,1.262277975,2.679426461,9.469059117,0,0,0,0,3.10E-06,3.67E-05,1.82E-05,5.03E-05,0,1.41E-05,2.45E-05,8.27E-05,4.84E-05,0.000354581,0.000628496,5.68E-05,0.000246535,0.004054739,0.000923702,1.66E-05,0.002029905,0.016195847,0.000261383,0.002228724,0,0.000169164,2.76E-05,1.16E-05,3.09E-05,4.07E-07,0.000151691,0.000156458,1.90E-05,0,0,5.94E-05,0,0.001825445,0.000605349,0.005453375,0.000886164,0.000553307,0.000521632,0,0.001191378,0.000527545,0.003506719,0.000226434,0.00020975,0.000427222,0.004413294,0.000171573,0.000108922,0.000906997,0.001950811,0.000374734,5.57E-05,0,0,0,0.002158097,0,0,7.81E-05,0,0,0,0.001292943,0,0,0,0,0.001674704,0,0,0,0,0,0,0,24
99,2,L3,17,0,0,52.46347691,0.052664513,0.479364891,1.167251332,2.609211384,17.04113239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
100,4,L3,26,2.893,7.23E-07,47.82892984,0.418067102,0.43132272,1.498190497,2.636780361,19.12706078,0,0,0.164249567,0,9.28E-06,0.000700392,0.002769003,0.008084991,0.000641261,0,9.08E-05,0.000282809,0.000117385,0.000255149,0.002352336,0.00016902,0.000356924,0.003299296,0.001621942,3.22E-05,0.000150752,0.042738333,0.000215292,0.005053527,0,0.00015418,8.75E-06,5.96E-05,5.32E-05,1.53E-06,0.000170226,0.000307769,0,0,0,8.47E-05,2.23E-05,0.001692819,0.001100004,0,0.001222445,0.000432889,0,0,0.000886837,0.000132951,0,0,4.15E-05,0.000525793,0.001992726,0,0.000116649,0.000788973,0.002796021,0.000119999,3.23E-05,0,0.00560236,0.00920165,0,0.020248786,0,0.000186663,0.002360045,0,0,0.001597995,0.0001759,0,0.000269248,0,0.00169285,0,0,0,0,0,0,0,24
101,6,L3,35,0,0,44.25771536,0.095847116,0.472617495,1.941318828,3.995546383,21.71806828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004841016,0.010233761,0,0.031900264,0,0.000222984,0.002773453,0,0,0.001760895,0,0,0,0,0,0,0,0,0,0,0,0,24
102,8,L3,44,3.499,8.75E-07,39.54590364,0.127217556,0.48363621,2.166640764,4.378883337,23.40199833,0,0,0.387912471,0,0,0.00084876,0.002790022,0.006970881,0.000791821,0,0.000157501,0,0,0,0,0,0,0.001829933,0.001391122,2.98E-05,4.17E-05,0.05860394,0.000202887,0.006542455,0,0.000159809,3.23E-06,4.28E-05,4.01E-05,1.92E-06,0.000147998,0.000341007,1.38E-05,0,0,5.53E-05,1.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003476742,0.010004562,0,0.049630448,0,0.000272959,0,0,0,0.001624836,0.000202033,0,0,0,0,0,0,0,0,0,0,0,24
103,10,L3,53,0,0,36.40552842,0.061697343,0.474951308,2.564809059,4.927373452,23.38584513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002679182,0.007985382,0,0.065861372,0,0.000484502,0,0,0,0.001657231,0.000189104,0,0,0,0,0,0,0,0,0,0,0,24
104,12,L3,62,3.701,9.25E-07,34.14087478,0.052461208,0.447399441,2.408903197,5.085791875,22.632806,0,0,0.628905894,0,1.48E-05,0.00094515,0.00149039,0.005621033,0.000978982,0,0.000151246,0.000324561,0.000177867,0.000295349,0.002268526,0.000219631,0.000375531,0,0,0,5.94E-05,0,0,0,0,0,0,0,0,0,8.18E-05,0.000444935,0,0,0,6.20E-05,0,0.000159193,0.000811715,0,7.33E-05,0.00032432,6.50E-05,0,0.000638479,0,0,0,5.25E-05,0.000434664,0,0,7.54E-05,0.000577884,0.002212962,7.42E-05,1.13E-05,0,0.004063607,0.011333287,0,0.11867234,0.000174396,0.00175286,0.005174711,0,0.000181733,0.001271192,0.000219639,0,0.000746435,0,0.00203004,0.001146852,0,0,0,0,0,0,24
105,16,L3,71,0,0,30.47818606,0.036503202,0.392849522,1.903519094,5.597805779,22.00366361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002358636,0.006846387,0,0.096470107,0,0.000638599,0,0,0.000154087,0.001581874,0.000157003,0,0,0,0,0,0,0,0,0,0,0,24
106,18,L3,80,3.727,9.32E-07,28.01765098,0.029325835,0.371625879,1.600210924,5.782185531,21.15020816,0,0,1.367950609,0,8.98E-06,0.000991804,0.002896497,0.007230596,0.001318829,0,0.000205716,0.000342847,0.000219698,0.000350983,0.002808285,0.000303869,0.000420463,0.001002021,0.001050581,2.37E-05,3.97E-05,0.05105705,0.00028409,0.006992648,0,0.000251195,3.88E-06,3.31E-05,7.04E-05,2.28E-06,7.19E-05,0.000360995,0,0,0,6.86E-05,0,0.000140337,0.000472747,0,7.29E-05,0.000367092,5.95E-05,0,0.000646794,0,0,0,4.36E-05,0.000608663,0,0,0.000103373,0.000562396,0.002152505,0.000190071,6.11E-06,0,0.00221254,0.006172633,0,0.100771021,0,0.000773046,0,0,0.000128113,0.001440339,0.000208439,0,0.000695318,0,0.001540717,0,0,0,0,0,0,0,24
107,20,L3,89,0,0,24.88099467,0.027315955,0.401898552,1.67669849,5.908212036,20.78917569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002234466,0.007094706,0.000770574,0.111317533,0,0.000901646,0,0,0.000123357,0.001166371,0.000212218,0,0,0,0,0,0,0,0,0,0,0,24
