,Strain,Hour,Replicate,OD600,pyr_c,oaa_c,lac__D_c,succ_c,mal__L_c,akg_c,acon__C_c,cit_c,mev_R_c,ip_c,dxyl5p_c,2me4p_c,5dpmev_c,ex_con.id,h2mb4p_c,2mecdp_c,4c2me_c,gly_c,ala__L_c,pro__L_c,val__L_c,Betaine,thr__L_c,cys__L_c,leu__L_c,ile__L_c,asn__L_c,asp__L_c,gln__L_c,lys__L_p,glu__L_c,met__L_c,his__L_c,phe__L_c,arg__L_c,tyr__L_c,trp__L_c
0,WT,0.0,1,0.7140000000000001,12.24240079,0.17586807899999998,10.84712526,3.3823824719999998,1.256920681,0.09699787900000001,0.0,0.234362173,0.0,0.0,0.049294064000000005,0.0,0.0,0.00250577,0,0.0,0.022746593,8.819183147999999,3.407569193,6.860138095,2.471777741,1.585751898,1.6098436230000002,0.044088039,7.432403588,7.830419406,8.354223559,2.845883819,3.249181971,32.05671957,9.400371936,2.499142037,3.4832828080000002,9.084695637000001,20.91903527,2.078610608,1.8986478830000002
1,WT,0.0,2,0.708,19.63925628,0.29906350600000003,18.74476825,6.009116421,1.83430476,0.180045812,0.0,0.495638764,0.0,0.0,0.084176305,0.0,0.0,0.005734473,0,0.0,0.042219405999999994,11.61122871,4.1486470419999995,8.531186645,2.790606152,2.060548855,2.120695544,0.06880837,8.79632526,9.894229166,10.48457022,7.396885972000001,3.19693927,33.74627289,10.69193994,3.258966828,3.9090776710000004,11.44133019,21.57684756,2.841407732,2.3965095819999997
2,WT,0.0,3,0.71,12.12525512,0.319584947,11.32296741,4.436076068,1.5034478009999999,0.181691629,0.0,0.46822590799999997,0.0,0.0,0.076919005,0.0,0.0,0.004394717,0,0.0,0.042485485999999996,8.236483595,3.31738934,6.283968053,2.23786185,1.670353896,1.439967143,0.048274698,6.548267397999999,7.292914828,6.705951263999999,5.018182438,2.596924167,34.15223899,9.396631722999999,2.519143691,3.4543213639999997,8.043481839,19.59746542,1.8963996490000001,1.657994244
3,I1,0.0,1,0.501,8.884179496,0.255788167,9.970514961000001,2.038937422,1.045831945,0.09768473400000001,0.0,0.155485428,0.0,0.09234199900000001,0.015492258,0.0,0.0,0.41965538399999996,0,0.0,0.009216614,12.79421891,4.335353977,8.959002712,3.003761087,2.585598265,2.797889811,0.052734043,9.999377546,10.75133415,12.69406967,14.57747192,3.9387555869999997,36.41764123,11.57448243,3.595405907,4.0478584060000005,12.17138099,22.39110704,2.58016431,2.492775958
4,I1,0.0,2,0.47100000000000003,15.92590236,0.254929529,17.84571681,3.7403008939999998,1.6099941580000001,0.23448286,0.0,0.355984249,0.0,0.161644531,0.036200247000000005,0.0,0.009257857,0.854812665,0,0.0,0.013670716000000001,12.55665027,4.291882351,8.922588227,3.0244705919999997,2.56251386,2.68887373,0.047560075,10.32911369,10.47707741,13.66542412,14.43508685,3.900333204,35.77990067,11.72747205,3.635643876,3.959911726,12.18674374,21.52903966,2.5843788919999997,2.4806269380000003
5,I1,0.0,3,0.502,12.25891765,0.308794733,15.10970065,3.3356488630000003,1.483206845,0.212018553,0.0,0.38447102,0.0,0.183409748,0.038443751,0.0,0.009188205,0.836711185,0,0.0,0.01999068,9.08088131,3.3710360410000004,6.784542997999999,2.4181530330000003,2.200824098,1.9563231909999999,0.043239423,7.461991241000001,7.811303693999999,8.821349665,7.833351241,3.6194758360000003,34.35187604,10.37815032,2.728219984,3.46716559,9.03395573,19.96217524,1.9692834190000001,1.880825585
6,I2,0.0,1,0.519,15.11795771,0.290295861,17.62138927,4.161145778,1.711616786,0.181208856,0.0,0.376086309,0.0,0.070144266,0.06153882,0.034512516,0.0,0.058753503,0,0.0,0.030550342,11.8976916,4.037003633,8.406654899,2.9476579889999996,2.3383595980000003,2.461263163,0.045343330999999994,9.656411311,9.934450127,10.90700296,11.143435499999999,3.697995638,34.75273477,10.79011344,3.386348115,3.8071084930000003,11.34893629,21.77983516,2.373883334,2.4542467
7,I2,0.0,2,0.5720000000000001,16.61700888,0.38281884200000005,24.91193642,4.726266155,1.821713214,0.160401339,0.0,0.40929130399999997,0.0,0.062098189000000005,0.054748917,0.037371747000000004,0.005037507,0.066410838,0,0.0,0.035227093,11.25909355,4.0561042480000005,8.158431507000001,2.796388719,2.375777749,2.3707383419999997,0.057444916,8.704590922000001,9.490351577,10.18013371,9.134029831,3.375684628,35.732636600000006,10.52661762,3.212245507,3.702152073,11.05220752,21.38710478,2.596738807,2.355603167
8,I2,0.0,3,0.588,12.67112823,0.207647214,21.04464818,4.077328476,1.525438606,0.14477704800000002,0.0,0.317634967,0.0,0.058492635,0.047831965,0.029199752000000002,0.0,0.04844363,0,0.0,0.029519554,10.95129606,3.8809763360000002,7.808138812999999,2.9695086739999996,2.412824426,2.330665058,0.050599575,8.478966285,9.195663807,9.750013486,8.409284138,3.694700669,35.71835839,10.35247419,3.131477947,3.6871523280000003,10.61757716,20.64281713,2.506094939,2.213810945
9,I3,0.0,1,0.44299999999999995,13.34310121,0.229695121,17.66453584,3.5011576360000003,1.6105224390000001,0.181744295,0.0,0.32467261399999997,0.0,0.072362837,0.045100407,0.029257235,0.003616892,0.068596098,0,0.0,0.019707007,13.26637494,4.243495888,8.896175353,3.1787024039999996,2.611944839,2.78315684,0.036798409,10.58515943,10.6551452,13.14518078,12.43957802,4.679609838999999,36.16801589,10.80934865,3.692073915,3.8751083060000004,12.05337117,22.0862694,2.419362204,2.224774203
