,Strain,Hour,Replicate,OD600,ipoh_e,glc__D_e,ac_e,for_e,pyr_e,lac__D_e,succ_e,mal__L_e,akg_e,acon__C_e,cit_e,icit_e,mev_R_e,ip_e,dxyl5p_e,2me4p_e,5pmev_e,ex_con.id,h2mb4p_e,2mecdp_e,5dpmev_e,grdp_e,frdp_e,ggdp_e,4c2me_e,gly_e,ala__L_e,ser__L_e,pro__L_e,val__L_e,thr__L_e,cys__L_e,leu__L_e,ile__L_e,asn__L_e,asp__L_e,gln__L_e,glu__L_e,met__L_e,his__L_e,phe__L_e,tyr__L_e,trp__L_e
0,WT,0.0,1,0.7140000000000001,0.0,10.00243333,0.563397,0.06422330000000001,862.1957028999999,421.6481823,70.21067188,37.34999202,0.0,0.0,10.61607209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.2548337000001,174.4935179,1582.349788,318.1765017,147.90111240000002,177.6325191,2.260669718,406.6494942,343.0849853,635.0016418,69.1660985,139.3177646,303.4114949,135.73542690000002,77.37914994,381.82639700000004,90.36032563,36.64957346
1,WT,0.0,2,0.708,0.0,10.00243333,0.588358,0.0632129,909.4264615000001,455.3806946,77.7806472,39.36011153,0.0,0.0,1.5062477509999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.4563502000001,171.3797162,1419.420413,330.3157848,148.3448125,172.76146119999999,2.542028726,444.0759557,363.3040303,653.0839232999999,67.92987201,169.4352495,329.2494108,133.0422941,78.00612089,385.0938048,80.92540924,36.29496825
2,WT,0.0,3,0.71,0.0,10.00243333,0.589192,0.0746907,979.1366808,513.6880212,80.60432312,40.98621393,0.0,0.0,1.6505550530000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.6365731000001,173.24049,1392.0866839999999,335.8041477,148.36544609999999,177.59367319999998,2.993090473,433.33653480000004,377.3072244,668.6852981000001,65.14365168,157.8340567,336.7345734,135.01372719999998,75.15792706,388.7699378,80.0496074,36.37663817
3,I1,0.0,1,0.501,0.0,10.01326667,0.357928,0.022886700000000003,552.9024473999999,279.92741739999997,39.88636104,31.75107887,0.0,0.0,2.214753319,0.0,0.0,3.146187742,0.0,0.0,0.0,0.117173557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.7500577000001,174.558033,3806.302921,333.9661376,160.76269530000002,194.7781899,2.380644748,469.8799732,392.1833591,671.1450352999999,201.68729069999998,168.6552858,368.6743139,154.92545780000003,77.57258291,401.202051,82.91667944,40.88137931
4,I1,0.0,2,0.47100000000000003,0.0,10.01326667,0.371084,0.03337380000000001,617.0277641,300.9814031,40.7706937,32.57913,0.0,0.0,1.963988302,0.0,0.0,2.3420562680000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0221684999999,173.3411076,3629.3447619999997,334.4744133,157.9712855,192.65547769999998,2.21251333,456.4713751,396.05386269999997,668.9156116,184.0846906,167.0532744,359.1297459,153.76403059999998,73.44701987,402.7733039,85.39742374,39.68731132
5,I1,0.0,3,0.502,0.0,10.01326667,0.370212,0.022112299999999998,598.6673284,299.69473270000003,41.55727995,31.91594939,0.0,0.0,2.90976749,0.0,0.0,3.1511493539999997,0.0,0.0,0.0,0.090830946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.9953201000001,172.25959880000002,3714.188567,334.6970397,153.20815249999998,193.1880956,1.8891907909999999,472.9845641,377.5710506,688.4101249,189.89216230000002,166.5459962,360.6024869,153.6461414,70.52450125,398.8985442,83.2132996,39.69255534
6,I2,0.0,1,0.519,0.0,10.03,0.38860100000000003,0.0450088,579.1221722,358.49479469999994,55.18549005,37.72791649,0.0,0.0,2.301503465,0.0,0.0,2.833489404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.3034219,169.3589578,3123.400944,325.23066439999997,152.0840115,184.3827217,2.795750959,423.7232801,363.1014943,631.1299279,135.5062721,178.3764433,309.9237316,136.1505229,65.69101061,389.4642534,88.18773108,40.79196649
7,I2,0.0,2,0.5720000000000001,0.0,10.03,0.450031,0.0376065,641.8864990000001,406.4748281,62.71014796,40.25869151,0.0,0.0,2.340504194,0.0,0.0,3.36866256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.7839425,172.5456812,2808.77828,340.7760489,153.6339929,190.7793586,2.10741964,450.31605149999996,394.32267,663.1281899,114.21433999999999,176.63712869999998,335.744623,153.0576919,65.25866756,400.54433430000006,84.23112605,41.20904394
8,I2,0.0,3,0.588,0.0,10.03,0.454128,0.0437595,646.625745,409.91274289999996,61.46758832,38.80772276,0.0,0.0,5.249857272,0.0,0.0,3.593841943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.8957468,171.29460830000002,2876.123861,339.72092430000004,153.51145369999998,187.29133090000002,2.9760832269999997,464.3074558999999,390.26286769999996,696.8638771000001,122.81274280000001,162.10998700000002,338.42291760000006,152.16426819999998,66.64442375,397.76944280000004,81.07445077,41.07875512
9,I3,0.0,1,0.44299999999999995,0.0,10.03753,0.309208,0.0414721,468.469354,246.24794219999998,47.51534735,28.42458666,0.0,0.0,4.360714325,0.0,0.0,3.696090077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.9692125,175.3162491,4410.835744,344.36238439999994,166.74652949999998,205.73892419999999,0.0,442.14792120000004,401.72006170000003,723.8541613,177.92509280000002,183.0945675,387.15154060000003,158.6056836,67.36232240000001,414.6710546,92.11406167,36.61175268
10,I3,0.0,2,0.41200000000000003,0.0,10.03753,0.303663,0.0359212,450.0936222,239.70411549999997,47.61672521,35.26404047,0.0,0.0,2.974093367,0.0,0.0,3.705390669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.7705632999999,176.4919892,4396.72658,343.3623273,164.7844373,206.8296343,1.3407071000000002,456.1431496999999,409.12491960000006,684.1831212999999,177.5988757,179.92125330000002,379.0716391,162.2489858,65.39621753,421.07318530000003,95.00568056,37.4786394
11,I3,0.0,3,0.408,0.0,10.03753,0.33310100000000004,0.0319319,461.21171200000003,246.3557534,48.98472103,36.3333691,0.0,0.0,3.704378563,0.0,0.0,3.734090193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.7003846,173.51614569999998,4160.406933,335.4468501,157.3907399,198.44839299999998,2.7206048110000003,478.868047,390.7278895,677.6167657999999,161.75690569999998,198.53054430000003,368.03733,159.0375011,64.95504526,401.1107951,83.75442127,35.35692701
12,WT,0.5,1,1.0490000000000002,0.0,9.643626667000001,0.87246,0.0834408,725.3563014,485.46094360000006,131.82261019999999,45.25050218,0.0,0.0,3.9603927939999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.2441541000001,171.2926533,0.0,313.74649900000003,111.21476299999999,119.14751809999998,3.4088436989999997,403.008422,305.8742443,497.04619929999996,0.0,81.04799612,194.7793417,116.14129479999998,48.68838062,340.63113599999997,64.05676458,28.45099912
13,WT,0.5,2,1.09,0.0,9.643626667000001,0.848884,0.08510060000000001,695.2156726,451.0154414,134.6002878,42.41423656,0.0,0.0,2.600340219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.9334816,166.4923339,0.0,319.8825789,110.25436599999999,114.72533510000001,2.043550036,418.1781743,301.5995107,510.9218813999999,0.0,77.44321479999999,186.7260229,115.43081129999999,46.5852469,347.76300679999997,62.87524288,28.62956029
