,formula,name
hmgcoa_c,C27H39N7O20P3S,3-Hydroxy-3-methyl-glutaryl-CoA
mev_R_c,C6H11O4,Mevalonate
5pmev_c,C6H10O7P,Mevalonate-5P
5dpmev_c,C6H10O10P2,Mevalonate-5PP
ipoh_c,C5H10O,Isopentenol
ip_c,C5H9O4P,Isopentenol-P
lim_c,C10H16,Limonene
bis_c,C15H24,Bisabolene
ggdp_c,C20H33O7P2,GeranylGeranyl-PP
ipoh_e,C5H10O,Isopentenol
ipdp_e,C5H9O7P2,Isopentenol-PP
dmpp_e,C5H9O7P2,Dimethylallyl-PP
mev_R_e,C6H11O4,Mevalonate
5pmev_e,C6H10O7P,Mevalonate-5P
5dpmev_e,C6H10O10P2,Mevalonate-5PP
ip_e,C5H9O4P,Isopentenol-P
2mecdp_e,C5H10O9P2,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate"
dxyl5p_e,C5H9O7P,1-Deoxy-D-xylulose 5-Phosphate
h2mb4p_e,C5H9O8P2,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate
grdp_e,C10H17O7P2,Geranyl-PP
frdp_e,C15H25O7P2,Farnesyl-PP
ggdp_e,C20H33O7P2,GeranylGeranyl-PP
4c2me_e,C14H23N3O14P2,4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol 
bis_e,C15H24,Bisabolene
lim_e,C10H16,Limonene
coa_e,C21H32N7O16P3S,Coenzyme A
accoa_e,C23H34N7O17P3S,Acetyl-CoA
aacoa_e,C25H36N7O18P3S,Aceto-Acetyl-CoA
hmgcoa_e,C27H39N7O20P3S,3-Hydroxy-3-methyl-glutaryl-CoA
adp_e,C10H12N5O10P2,ADP
atp_e,C10H12N5O13P3,ATP
nad_e,C21H26N7O14P2,Nicotinamide adenine dinucleotide
nadh_e,C21H27N7O14P2,Nicotinamide adenine dinucleotide - reduced
nadp_e,C21H25N7O17P3,Nicotinamide adenine dinucleotide phosphate
nadph_e,C21H26N7O17P3,Nicotinamide adenine dinucleotide phosphate - reduced
