,hmgcoa_c,mev_R_c,5pmev_c,5dpmev_c,ipoh_c,ip_c,lim_c,bis_c,aacoa_c,accoa_c,ipdp_c,grdp_c,ggdp_c,frdp_c,h_c,coa_c,nadp_c,nadph_c,adp_c,atp_c,pi_c,ppi_c,co2_c,h2o_c,dmpp_c,2mecdp_c,dxyl5p_c,h2mb4p_c,4c2me_c,ipoh_e,ipdp_e,dmpp_e,mev_R_e,5pmev_e,5dpmev_e,ip_e,2mecdp_e,dxyl5p_e,h2mb4p_e,grdp_e,frdp_e,ggdp_e,4c2me_e,bis_e,lim_e,coa_e,accoa_e,aacoa_e,hmgcoa_e,amp_e,adp_e,atp_e,nad_e,nadh_e,nadp_e,nadph_e,amp_c,nad_c,nadh_c
HMGS,-1,,,,,,,,1,1,,,,,-1,-1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMGR,1,-1,,,,,,,,,,,,,2,-1,-2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERG1,,-1,1,,,,,,,,,,,,1,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERG8,,,-1,1,,,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVD1,,,,-1,,,,,,,1,,,,,,,,1,-1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NudB,,,,,,1,,,,,-1,,,,1,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNK,,,,,1,-1,,,,,,,,,,,,,,,1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMS,,,,,,,1,,,,,-1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISS,,,,,,,,1,,,,,,-1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL069C,,,,,,,,,,,-1,,1,-1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPOHt,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPt,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMPPt,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEVt,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MEVPt,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
