,fluxes
10FTHF5GLUtl,0.0
10FTHF5GLUtm,0.0
10FTHF6GLUtl,0.0
10FTHF6GLUtm,0.0
10FTHF7GLUtl,0.0
10FTHF7GLUtm,0.0
10FTHFtl,0.0
10FTHFtm,0.0
13DAMPPOX,0.0
1PPDCRp,0.0
25HVITD2t,0.0
25HVITD2tin,0.0
25HVITD2tin_m,0.0
25HVITD2tm,0.0
25HVITD3t,0.0
25HVITD3tin,0.0
25HVITD3tin_m,0.0
25HVITD3tm,0.0
2AMACHYD,0.0
2AMADPTm,0.0
2DR1PP,0.0
2HCO3_NAt,0.0
2OXOADOXm,0.0
2OXOADPTm,0.0
34DHPLACOX,0.0
34DHPLACOX_NADP_,0.0
34DHXMANDACOX,0.0
34DHXMANDACOX_NADP_,0.0
34HPPOR,0.0
35CGMPtn,0.0
3DSPHR,0.0007420807320631684
3HAO,0.0
3HBCOAHLm,0.0
3HCO3_NAt,0.13885025486082686
3MOBt2im,0.0
3MOBte,-0.000256432185257893
3MOPt2im,0.0
3MOPte,-7.14322010464692e-05
3MOX4HOXPGALDOX,0.0
3MOX4HOXPGALDOX_NADP_,0.0
3SALAASPm,0.0
3SALATAi,0.0
3SALATAim,0.0
3SPYRSP,0.0
3SPYRSPm,0.0
4ABUTtm,0.0
4MOPt2im,0.0
4MOPte,-7.08356794308701e-05
5DHFtl,0.0
5MTHFt,0.0
5MTHFt2,0.0
5OXPROt,-0.00010324671493464
5THFtl,0.0
5THFtm,0.0
6DHFtl,0.0
6DHFtm,0.0
6THFtl,0.0
6THFtm,0.0
7DHFtl,0.0
7DHFtm,0.0
7THFtl,0.0
7THFtm,0.0
A4GNT2g,-4.764493448207887e-19
AACOAT,0.0
AACTOOR,0.0
AACTtm,0.0
AAPSAS,0.0
AASAD3,0.0
AASAD3m,0.0
AATAi,0.0
ABTArm,0.0
ABUTD,0.0
ABUTt2r,0.0
ABUTt4_2_r,0.0
ACACT1,0.0
ACACT10m,0.0
ACACT1r,0.005194565124442225
ACACT1rm,0.0
ACACt2m,0.0
ACACtx,7.488809196817146e-19
ACALDtm,0.0
ACCOAC,0.4116698029820291
ACCOACm,0.0
ACCOAtn,0.0
ACETONEt2m,0.0
ACGAM2E,0.0
ACGAM6PSi,0.011605342728177717
ACGAMK,0.0
ACGAMPM,0.011605342728177717
ACGAMtly,0.0
ACGPID,0.011605342728177717
ACHEe,0.0
ACHVESSEC,0.0
ACHtn,0.0
ACITL,0.4860634702099313
ACNAM9PL,0.0
ACNAM9PL2,8.961660483937994
ACNAMPH,0.0
ACNAMlt,-1.4073630874898953e-18
ACNAMtn,0.0
ACNMLr,1.4073630874898953e-18
ACOAD10m,0.0
ACOAD8m,0.0
ACOAD9m,0.0
ACOAHi,0.0
ACOAO7p,0.0
ACONT,0.0
ACONTm,-0.4881428116829617
ACP1_FMN,0.0
ACRNtm,0.0
ACS,0.011605342728177717
ACSm,0.0
ACTLMO,2.253829963946246
ACTNMO,0.0
ACYP,0.0
ACt2m,0.0
ACt2r,0.0
ADA,0.0
ADAe,0.0
ADCim,0.0
ADK1,0.05316671279330293
ADK1m,0.0
ADK3,0.0
ADK3m,1.0057872657554824e-18
ADKd,0.0
ADMDC,0.0
ADNCYC,0.0
ADNK1,-4.002816849296572e-34
ADNK1m,-1.7924479310668106e-18
ADNt,0.0
ADNt4,0.0
ADNt5,0.0
ADNtm,-1.7924479310668106e-18
ADPRDP,-2.3422917616240785e-19
ADPT,0.0
ADPtx,-0.015583695373326588
ADRNCOAtx,0.0
ADRNt,0.0
ADSK,0.0
ADSL1,0.0028352939582577752
ADSL2,0.004788075515316391
ADSS,0.0028352939582577752
AG13T10g,-2.8112490078785705e-19
AG13T11g,-2.8112490078785705e-19
AG13T12g,-2.8112490078785705e-19
AG13T13g,-2.8112490078785705e-19
AG13T14g,-2.8112490078785705e-19
AG13T15g,-2.8112490078785705e-19
AG13T16g,6.462888993567318e-19
AG13T17g,6.462888993567318e-19
AG13T18g,6.462888993567318e-19
AG13T1g,4.764493448207887e-19
AG13T2g,4.764493448207887e-19
AG13T3g,4.764493448207887e-19
AG13T4g,-2.811249007878571e-19
AG13T5g,-2.8112490078785705e-19
AG13T6g,-2.8112490078785705e-19
AG13T7g,-2.8112490078785705e-19
AG13T8g,-2.8112490078785705e-19
AG13T9g,-2.8112490078785705e-19
AGDC,0.0
AGPAT1,0.022860233831135772
AGTix,0.0
AHC,-2.1750524994421784e-18
AHCYStr,0.0
AHEXASEly,2.8287487205011607e-19
AICART,0.004788075515316391
AIRCr,0.004788075515316392
AK2LGCHOLt,0.0
AKGDm,0.0
AKGMALtm,0.0
ALAASNNaEx,0.0
ALACYSNaEx,0.0
ALADGLNexR,0.0
ALADGLYexR,0.0
ALAGLNNaEx,0.0
ALAGLNexR,0.0
ALAGLYexR,0.0
ALAR,0.0
ALASERNaEx,0.0
ALATA_L,-0.34944009145085075
ALATHRNaEx,0.0
ALAt2r,-6.613366021003117
ALAt4,0.0
ALAtN1,6.2853834666875485
